Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL488052,,None,244.3,0,1.13,10,NC(=O)c1cccc2[nH]c(C3CCNCC3)nc12,EC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL992766,Inhibition of PARP1 in human C41 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,
CHEMBL445724,,None,258.32,0,1.82,8c,CN1CCCCC1c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',29,nM,7.54,,,UO_0000065,29.18,0.54,5.72,10.05,0,CHEMBL992765,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,
CHEMBL511050,,None,244.3,0,1.43,5a,CN1CCC[C@@H]1c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',8,nM,8.1,,,UO_0000065,33.14,0.61,6.67,10.79,0,CHEMBL992765,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,
CHEMBL488237,,None,258.32,0,1.82,3a,CC(C)N1CCC1c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',110,nM,6.96,,,UO_0000065,26.94,0.5,5.14,9.28,0,CHEMBL992765,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,
CHEMBL513621,,None,300.41,0,2.26,14,CCCN1CCC(c2nc3c(C(N)=O)cccc3n2C)CC1,EC50,'=',21,nM,7.68,,,UO_0000065,25.56,0.48,5.42,11.97,0,CHEMBL992766,Inhibition of PARP1 in human C41 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157504,1,Scientific Literature,Bioorg Med Chem,2008,None,,
CHEMBL520745,,None,306.37,0,2,8r,NC(=O)c1cccc2[nH]c(C3(N)CCc4ccccc4C3)nc12,Ki,'=',18,nM,7.75,,,UO_0000065,25.28,0.46,5.74,7.92,0,CHEMBL986586,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155103,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL335198,,None,281.27,0,2.03,46,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)O)cc3)nc12,Ki,'=',290,nM,6.54,,,UO_0000065,23.24,0.43,4.51,5.99,0,CHEMBL759581,In vitro inhibition against human full length PARP protein,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132951,1,Scientific Literature,J Med Chem,2000,None,,
CHEMBL129984,,None,320.27,0,4.04,32,COC(=O)c1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12,Inhibition,,,,,Potential missing data,No data,,,,,,0,CHEMBL763793,In vitro inhibition against human full length PARP protein; NT means not tested,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132951,1,Scientific Literature,J Med Chem,2000,None,,
CHEMBL344963,,None,305.38,0,3.14,28,CN(C)Cc1ccc(-c2[nH]c3cccc4c3c2CNC4=O)cc1,Ki,'<',5,nM,,,,UO_0000065,,,,,0,CHEMBL761787,In vitro inhibitory activity towards human poly(ADP-ribose) polymerase 1 (PARP-1).,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136008,1,Scientific Literature,J Med Chem,2002,None,,
CHEMBL45245,,None,195.22,0,2.68,8,O=c1[nH]c2ccccc2c2ccccc12,IC50,'=',300,nM,6.52,,,UO_0000065,33.41,0.59,3.84,19.85,0,CHEMBL1176193,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177697,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL1173054,,None,345.45,0,3.72,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL84096,,None,357.43,0,2.43,71,O=C(CCN1CCCCC1)N1CCc2[nH]c(=O)c3cc(F)ccc3c2C1,IC50,'=',25,nM,7.6,,,UO_0000065,21.27,0.4,5.17,13.48,0,CHEMBL1176193,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1177697,1,Scientific Literature,J Med Chem,2010,None,,
CHEMBL1096883,,None,312.35,0,2.18,45,NC(=O)c1cccc2cn(-c3ccc(CNCCF)cc3)nc12,IC50,'=',2.1,nM,8.68,,,UO_0000065,27.78,0.52,6.5,11.9,0,CHEMBL1115415,Inhibition of human PARP1 by SPA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157008,1,Scientific Literature,J Med Chem,2009,None,,
CHEMBL598088,,None,273.34,0,0.74,1h,NC(=O)c1cccc2c1C(=O)N(CC1CCNCC1)C2,Ki,'=',384,nM,6.42,,,UO_0000065,23.47,0.44,5.68,8.51,0,CHEMBL1070823,Inhibition of PARP1 by microplate scintillation counting,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1159077,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL590400,,None,505.42,1,4.75,16,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(C2CCCCC2)CC1,IC50,'=',14,nM,7.85,,,UO_0000065,15.54,0.32,3.1,12.91,0,CHEMBL1069748,Inhibition of PARP1 by topcount microplate scintillation counter,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1158513,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL492692,,None,394.45,0,2.43,41,CCN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,IC50,'=',6,nM,8.22,,,UO_0000065,20.84,0.39,5.79,11.86,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,
CHEMBL297175,,None,359.86,0,3.05,10c2,Cc1cc2nc(O)c3ccccc3c2cc1NC(=O)C[N+](C)(C)C.[Cl-],IC50,'=',195,nM,6.71,,,UO_0000065,20.68,0.38,3.66,10.78,0,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134117,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,
CHEMBL589751,,None,267.29,0,1.34,1q,NC(=O)c1cccc2c1C(=O)N(Cc1cccnc1)C2,Ki,'>',9500,nM,,,,UO_0000065,,,,,0,CHEMBL1070823,Inhibition of PARP1 by microplate scintillation counting,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1159077,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL479861,,None,452.54,1,5.2,28,Cc1sc(-c2ccccc2)nc1C(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,IC50,'=',27,nM,7.57,,,UO_0000065,16.72,0.31,2.37,8.63,0,CHEMBL993111,Inhibition of human recombinant PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143348,1,Scientific Literature,J Med Chem,2009,None,,
CHEMBL480615,,None,363.51,0,3.62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL322133,,None,452.33,0,1.48,8,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,IC50,'=',15,nM,7.82,,,UO_0000065,17.3,0.4,6.34,7.74,0,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134951,1,Scientific Literature,Bioorg Med Chem Lett,2002,None,,
CHEMBL1092143,,None,386.56,0,4.21,12c,CC(C)CCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,IC50,'=',71,nM,7.15,,,UO_0000065,18.49,0.36,2.94,15.77,0,CHEMBL1111552,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156288,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL1092776,,None,330.45,0,2.79,12l,CN1CCCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,IC50,'=',39,nM,7.41,,,UO_0000065,22.42,0.44,4.62,16.34,0,CHEMBL1111552,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156288,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,
CHEMBL2419892,,None,290.24,0,3.61,13c,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2ccccc12,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL3830931,Inhibition of PARP-1 (unknown origin) using histone as substrate incubated for 1 hr by chemiluminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3826913,1,Scientific Literature,Eur J Med Chem,2016,None,,
CHEMBL3416132,,None,181.62,0,1.63,3,O=C1NCCc2ccc(Cl)cc21,IC50,'=',100000,nM,4,,,UO_0000065,22.02,0.46,2.37,13.75,0,CHEMBL3631406,Inhibition of PARP1 (unknown origin) by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3627698,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL417002,,None,481.6,0,2.86,11a2,CS(=O)(=O)O.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,IC50,'=',36,nM,7.44,,,UO_0000065,19.31,0.38,4.58,9.02,0,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134117,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,
CHEMBL430707,,None,458.54,0,-0.42,26,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,IC50,'=',35,nM,7.46,,,UO_0000065,16.26,0.32,7.88,6.19,0,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134951,1,Scientific Literature,Bioorg Med Chem Lett,2002,None,,
CHEMBL189695,,None,472.54,0,2.16,12b,O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,EC50,'=',300,nM,6.52,,,UO_0000065,13.8,0.27,4.36,6.28,0,CHEMBL829884,Effective concentration against poly ADP-ribose polymerase-1 determined using the cell protection assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141136,1,Scientific Literature,J Med Chem,2005,None,,
CHEMBL506871,VELIPARIB,3,244.3,0,1.26,ABT-888,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,EC50,'=',160000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL2412861,Inhibition of PARP1 in human Jurkat cells assessed as reduction of cell viability after 96 hrs by MTS assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307526,,
CHEMBL1094636,NIRAPARIB,4,320.4,0,2.59,MK-4827,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,'=',35,nM,7.46,,,UO_0000065,23.27,0.42,4.87,10.22,1,CHEMBL2412862,Inhibition of human PARP1 catalytic activity after 10 mins by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL506871,VELIPARIB,3,244.3,0,1.26,ABT-888,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,IC50,'=',16,nM,7.8,,,UO_0000065,31.91,0.59,6.54,9.3,0,CHEMBL2412862,Inhibition of human PARP1 catalytic activity after 10 mins by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL2407979,,None,450.54,0,2.63,10i,COc1cc(CN2CCN(c3ccc(C(=O)NC4CC4)cc3)CC2)cc2c1OC(C)C(=O)N2,IC50,'=',30,nM,7.52,,,UO_0000065,16.7,0.31,4.89,9.05,0,CHEMBL2412862,Inhibition of human PARP1 catalytic activity after 10 mins by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL460153,,None,149.15,0,1.02,2a,O=C1COc2ccccc2N1,Kd,'>',500000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL2412863,Binding affinity to catalytic domain of human PARP1 after 5 mins by surface plasmon resonance assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,
CHEMBL2407981,,None,456.97,0,3.44,10k,CCNC(=O)c1ccc(N2CCN(Cc3cc(C)c4c(c3)NC(=O)C(C)O4)CC2)c(Cl)c1,PF50,'=',3.4,,,,,,,,,,0,CHEMBL2412859,Chemopotentiation factor,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407979,,None,450.54,0,2.63,10i,COc1cc(CN2CCN(c3ccc(C(=O)NC4CC4)cc3)CC2)cc2c1OC(C)C(=O)N2,PF50,'=',10.1,,,,,,,,,,0,CHEMBL2412859,Chemopotentiation factor,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407974,,None,408.5,0,2.4,10d,CNC(=O)c1ccc(N2CCN(Cc3cc(C)c4c(c3)NC(=O)C(C)O4)CC2)cc1,PF50,'=',6.8,,,,,,,,,,0,CHEMBL2412859,Chemopotentiation factor,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407972,,None,408.5,0,2.48,10b,CCNC(=O)c1ccc(N2CCN(Cc3ccc4c(c3)NC(=O)C(C)O4)CC2)cc1,PF50,'=',2.8,,,,,,,,,,0,CHEMBL2412859,Chemopotentiation factor,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407985,,None,448.57,0,3.24,10o,Cc1cc(C(=O)NC2CC2)ccc1N1CCN(Cc2cc(C)c3c(c2)NC(=O)C(C)O3)CC1,EC50,'=',18000,nM,4.75,,,UO_0000065,10.58,0.2,1.5,6.42,0,CHEMBL2412860,Inhibition of PARP1 in human Jurkat cells assessed as reduction of cell viability after 96 hrs by MTS assay in presence of 100 uM of temozolomide,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307526,,
CHEMBL124706,PHTHALAZINONE,None,146.15,0,1.34,44,Oc1nncc2ccccc12,IC50,'=',12000,nM,4.92,,,UO_0000065,33.67,0.61,3.58,10.7,0,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134673,1,Scientific Literature,J Med Chem,2001,None,,
CHEMBL188743,,None,324.77,0,3.52,37,O=Cc1c(-c2ccc(Cl)cc2)n2c3c(cccc13)C(=O)NCC2,Ki,'=',43,nM,7.37,,,UO_0000065,22.68,0.44,3.85,14.42,0,CHEMBL826331,Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137224,1,Scientific Literature,J Med Chem,2004,None,,
CHEMBL312719,,None,349.44,0,2.08,13f,CN1CCN(Cc2cccc(-c3nc4c(C(N)=O)cccc4[nH]3)c2)CC1,Ki,'=',9.8,nM,8.01,,,UO_0000065,22.92,0.42,5.93,10.23,0,CHEMBL763195,Binding affinity towards human poly(ADP-ribose) polymerase-1 (PARP-1),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148248,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL579023,,None,319.32,0,2.69,22,Cc1noc(-c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,Ki,'=',4,nM,8.4,,,UO_0000065,26.3,0.48,5.71,7.59,0,CHEMBL1042276,Inhibition of PARP1 by scintillation counting,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154691,1,Scientific Literature,J Med Chem,2009,None,,
CHEMBL567400,,None,305.3,0,1.51,27,NC(=O)c1cccc2[nH]c(-c3ccc(-c4nnn[nH]4)cc3)nc12,Ki,'=',20,nM,7.7,,,UO_0000065,25.22,0.46,6.19,6.1,0,CHEMBL1042276,Inhibition of PARP1 by scintillation counting,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154691,1,Scientific Literature,J Med Chem,2009,None,,
CHEMBL578397,,None,353.39,0,3.64,18,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cn5ccccc5n4)cc3)nc12,EC50,'=',20,nM,7.7,,,UO_0000065,21.79,0.39,4.06,8.64,0,CHEMBL1042277,Inhibition of PARP1 in human C41 cells after 30 mins by cell-based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154691,1,Scientific Literature,J Med Chem,2009,None,,
CHEMBL583526,,None,337.36,0,2.14,30,NC(=O)c1cccc2[nH]c(-c3ccc(-c4nsc(=O)[nH]4)cc3)nc12,EC50,'=',461,nM,6.34,,,UO_0000065,18.78,0.36,4.2,5.39,0,CHEMBL1042277,Inhibition of PARP1 in human C41 cells after 30 mins by cell-based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,C41,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1154691,1,Scientific Literature,J Med Chem,2009,None,,
